stock_symbol,date_time
CASTROLIND,2019-07-29 15:07:03
MAHABANK,2019-07-29 13:59:18
SHK,2019-08-09 15:53:01
ALLCARGO,2019-08-07 14:56:52
HEIDELBERG,2019-07-30 13:26:58
PRSMJOHNSN,2019-07-30 11:47:45
INTLCOMBQ,2019-07-29 15:06:35
SOLIMAC,2019-07-30 12:51:11
BSOFT,2019-08-07 14:44:48
AEGISLOG,2019-07-30 12:29:12
SHARDACROP,2019-07-24 13:58:03
APOLLOTRI,2019-07-22 14:02:13
MONSANTO,2019-07-24 14:41:03
DRREDDY,2019-07-29 15:52:33
CHEVIOT,2019-07-24 11:17:11
HMVL,2019-07-22 13:27:04
RPGLIFE,2019-07-30 15:16:08
PEL,2019-07-30 12:56:07
TECHM,2019-07-30 15:36:15
EIHAHOTELS,2019-07-30 14:58:14
SYNDIBANK,2019-07-24 15:57:25
CROMPTON,2019-07-24 13:40:30
RAJGLOWIR,2019-07-22 13:39:17
MRF,2019-08-09 14:29:45
VGUARD,2019-07-24 15:11:36
MPSLTD,2019-07-24 13:25:42
CHOLAFIN,2019-07-30 15:02:18
TIINDIA,2019-07-24 14:49:41
